point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,density[kg/m3],volume[cm3/mol],heatCapacity[kJ/K],alpha[1/K],Entropy[J/K],Enthalpy[J],Vp[km/s],Vs[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%]
40,1.0,2.05,920.0000000000001,spn,0.32350750674471507,0.5105779620238827,-,-,-,-,-,-,-,-,4811.939646023645,46.938519034333524,0.20424082886929557,4.3437763677730595e-5,0.4202810949722649,-1103.5017629969987,7.155097769217277,3.942775541112611,146.61074877870698,74.80390656060115,0.0,0.3107469820921225,0.0,1.9431948325687207,70.46779458154593,0.0,0.0,9.73454837935712,17.543715224436095,0.0,0.0,0.0,0.5084532949045683,0.0,1.2567118571780445,81.25157193159029,0.0,0.0,12.478666661411022,4.504596254916069,0.0,0.0
40,1.0,2.05,920.0000000000001,q,53.12670489312015,52.04125220872115,-,-,-,-,-,-,-,-,2542.355988395189,23.6316236885159,0.07084083648578599,0.0,0.1286012550565374,-846.8522629294223,6.835263985750812,4.058300117194594,62.95153247425802,41.872094254000004,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.0,2.0,910.0000000000001,system,100.0,100.0,-11.618897248927945,0.7682628385588599,0.0,1.0000000000000115,0.6166788899528575,0.013751314397426247,0.011215598106430963,0.12417663465047885,2583.154350308204,24.394099037989214,0.18215183422365439,1.3626708330631633e-5,0.13656020689911652,-866.4941477706802,6.3325085149851335,3.612051415557701,58.649943103659055,33.70219634757498,86.83181316818683,5.302794697205303,1.0425989574010426,0.2963997036002964,1.1987988012011987,1.6684983315016686,3.387896612103388,0.07079992920007079,0.2003997996002004,0.0,0.0,82.93766210360492,8.595628464504431,0.9295404354210489,0.1899003680354829,1.3693550498695108,2.498731977705213,3.3382950289028503,0.08991121673700164,0.05097535521953872,0.0,0.0
41,1.0,2.0,910.0000000000001,fsp,43.096095524602426,43.45811057237996,-,-,-,-,-,-,-,-,2537.9259793926562,105.60083969130017,0.3228364226851399,2.8981244694344217e-5,0.6005697048071343,-3675.9510658430872,5.7191882078719125,3.102655816446297,50.43827462120055,24.43127620931599,74.0871289329315,12.956435533534256,0.9128710670685054,0.0,0.0,4.04503581915962,7.998528647306129,0.0,0.0,0.0,0.0,66.43338128727059,19.716464161370272,0.7640664246850043,0.0,0.0,5.687048642394943,7.399039484279182,0.0,0.0,0.0,0.0
41,1.0,2.0,910.0000000000001,spn,0.3230794862532321,0.5101720749171014,-,-,-,-,-,-,-,-,4818.41046183011,46.89986597389624,0.20388236218982936,4.347422111016072e-5,0.4186588608330417,-1101.3842845078798,7.159366921894118,3.9470665898539976,146.88485096055314,75.06762913694374,0.0,0.31296677782640525,0.0,1.8953108886039804,70.5849726155644,0.0,0.0,9.452932427673687,17.753817290331533,0.0,0.0,0.0,0.5131079163447659,0.0,1.2281916868783478,81.54919395055813,0.0,0.0,12.14186107231385,4.567645373904912,0.0,0.0
41,1.0,2.0,910.0000000000001,ilm,0.00823216240685536,0.012247277264855848,-,-,-,-,-,-,-,-,4690.16949116134,32.424787785271754,0.1345262111850485,3.3617091566558426e-5,0.27552684591778986,-1097.8549822689838,7.09475899710252,4.028916250432277,134.57370599966316,76.1316104662496,0.0,0.0,0.0,0.0,51.067521354169365,0.0,0.0,46.797435937491926,2.1350427083387222,0.0,0.0,0.0,0.0,0.0,0.0,49.30700877071458,0.0,0.0,50.233937357653645,0.45905387163175787,0.0,0.0
41,1.0,2.0,910.0000000000001,cpx,3.447670728209413,3.9795141255614563,-,-,-,-,-,-,-,-,3443.223076220909,68.53448663014883,0.2595497801600343,3.7564998203293455e-5,0.4714308759827692,-2645.574482975598,6.929856045237293,3.7531155975170765,100.68581980501203,48.500815662046115,50.5906355689686,0.38691114860058423,16.024972900124908,6.8406521302987775,19.772565787586437,0.3519078846444556,3.0332757022024057,0.4098681587186852,2.5892107188551337,0.0,0.0,50.91886008867399,0.6608755483599519,15.055109612892126,4.618289622805967,23.79953187729153,0.5553394341637552,3.1495033258271397,0.5484800684328597,0.6940104215526705,0.0,0.0
41,1.0,2.0,910.0000000000001,q,53.124922098528074,52.039955949876635,-,-,-,-,-,-,-,-,2542.153991336356,23.633501434119353,0.07065063272193584,0.0,0.1280057390147249,-847.6779847658147,6.834818591160184,4.0591396565536755,62.907953293186665,41.886091954,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1.0,1.9499999999999997,900.0000000000001,system,100.0,100.0,-11.814980048493915,0.7532945349652223,0.0,1.0,0.6094200505118809,0.013913697718006655,0.011002459950201823,0.1230732831529751,2583.2806568225114,24.39306955140357,0.18216572563319333,1.3653390985030074e-5,0.1359304708910819,-867.3472526537599,6.334176828423481,3.614470362463725,58.64719112221429,33.74900148278502,86.83181316818683,5.302794697205303,1.0425989574010426,0.2963997036002964,1.1987988012011987,1.6684983315016686,3.387896612103388,0.07079992920007079,0.2003997996002004,0.0,0.0,82.93766210360492,8.595628464504431,0.9295404354210489,0.1899003680354829,1.3693550498695108,2.498731977705213,3.3382950289028503,0.08991121673700164,0.05097535521953872,0.0,0.0
42,1.0,1.9499999999999997,900.0000000000001,ilm,0.011180623367982541,0.016633425890380485,-,-,-,-,-,-,-,-,4691.391931294013,32.415614064013624,0.13475952509696407,3.355739615448353e-5,0.2743500927465774,-1099.5451860844605,7.1029367520787074,4.032795005400947,134.9578804577895,76.2981503406002,0.0,0.0,0.0,0.0,51.05730428967147,0.0,0.0,46.82808713098561,2.114608579342933,0.0,0.0,0.0,0.0,0.0,0.0,49.287954855831366,0.0,0.0,50.257469548214374,0.45457559595427527,0.0,0.0
