point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,density[kg/m3],volume[cm3/mol],heatCapacity[kJ/K],alpha[1/K],Entropy[J/K],Enthalpy[J],Vp[km/s],Vs[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%]
29,1.0,3.0,1120.0,system,100.0,100.0,-7.720028605782806,1.4693517208900388,0.05078888056009211,0.586113887410979,0.5368383923352399,0.14238357252889447,0.08471816272760326,0.09593247426160388,2805.930566163023,21.75745026171077,0.2601929622007651,9.003194361211139e-5,0.1493931854045919,-756.5509436895948,3.845241772151752,1.5544535860736939,32.448107540752815,6.780042844445987,51.119421115468164,8.687908218528683,11.378364415354142,12.326018315206388,9.264468680389648,0.11355058000566579,2.9503700897623397,1.1577400567377691,1.1988124224264514,0.0,1.8033461061207463,50.38749255648804,14.532888679436379,10.468747852581409,8.149571055828417,10.920793264464377,0.17548789134525375,3.0000947043560147,1.517246036960947,0.314686500676602,0.0,0.5329914578625581
29,1.0,3.0,1120.0,ol,0.7123171650319519,0.7263882655287679,-,-,-,-,-,-,-,-,3356.008208142807,45.97468929644067,0.1887515717932336,4.1428741065758194e-5,0.3527555181776297,-1838.2569800012816,7.378829816364592,4.222787005720605,102.93287501626521,59.84410376814019,33.33333333333333,0.0,0.18596743916139352,52.19290455241692,14.28779467508836,0.0,0.0,0.0,0.0,0.0,0.0,38.93929701151172,0.0,0.20277964254051908,40.89742359890802,19.960499747039727,0.0,0.0,0.0,0.0,0.0,0.0
29,1.0,3.0,1120.0,spn,1.1428381066534594,1.4345802803487784,-,-,-,-,-,-,-,-,4042.1062381907595,46.98712008895866,0.20283290599671674,3.8693950827398394e-5,0.406142333576188,-1593.7393347014518,8.022100429211973,4.633497717814199,144.41782883734453,86.781195909905,0.0,1.4748644427932662,0.0,33.024226437074645,35.510976904321936,0.0,0.0,22.909457748827162,7.080474466982994,0.0,0.0,0.0,2.5163465496266766,0.0,22.270307774750663,42.69508787568063,0.0,0.0,30.622552330577268,1.8957054693647606,0.0,0.0
29,1.0,3.0,1120.0,liq,71.4907668324885,71.31906672535318,-,-,-,-,-,-,-,-,2712.029419696493,62.79804082587731,0.24925683745978658,0.00011265672560757038,0.4281750834043794,-2079.6178253206353,2.824721072471539,2.084834832462153e-9,21.639416001465953,1.1787934261470117e-17,52.11977970049212,8.695786527228927,10.580185671758716,9.638694151825982,10.288723865887915,0.158413924188092,3.5188951619627784,1.0989696272191787,1.3604437782920695,0.0,2.540107591144219,51.10469232097354,14.46994828869273,9.683438010689846,6.339449235338387,12.064701093208177,0.24354125388244383,3.5594769309690446,1.4326893367889897,0.35524572801689186,0.0,0.7468178014399358
29,1.0,3.0,1120.0,cpx,9.290022423886526,9.484911631691276,-,-,-,-,-,-,-,-,3244.9514633924155,68.00748101178526,0.2632670000738166,4.0055383236845994e-5,0.49457398176947515,-2812.3900931376006,7.180100866123667,4.2238073407361005,90.10078422267352,57.89171380592497,48.78864391909498,1.5364913460068061,18.351220262519952,22.931839669750918,6.621616828719434,0.007747188547358044,0.6774876658358192,0.3129339796213912,0.7720191399033292,0.0,0.0,52.37125375476739,2.799008679546058,18.387269975255467,16.511565158808544,8.500316926479574,0.013038851177318848,0.7502349027878865,0.4466168243535447,0.2206949268242236,0.0,0.0
29,1.0,3.0,1120.0,fsp,11.930634868333668,11.612560685667345,-,-,-,-,-,-,-,-,2658.662228229185,102.87100818631536,0.3406326283129904,2.5448797033280312e-5,0.6446600038319421,-3790.942502238608,6.516985649775838,3.522663308698415,68.92730599427377,32.99175643230864,57.3560927519281,21.32195362403595,17.643907248071894,0.0,0.0,0.0032749603857228937,3.67477141557833,0.0,0.0,0.0,0.0,50.39800113672164,31.795133353488836,14.471268471615545,0.0,0.0,0.004511913692172063,3.331085124481813,0.0,0.0,0.0,0.0
29,1.0,3.0,1120.0,opx,5.433420603605885,5.4224924114106505,-,-,-,-,-,-,-,-,3282.681506331383,65.71208488511901,0.2693194765834577,3.9753132909101514e-5,0.49364518548994624,-2695.73410875057,7.0347818613462945,4.3791008428944025,78.5199588522319,62.95042132157757,47.59143310597631,2.152567288072702,2.437523620567314,36.09475307617618,10.674389921368807,0.0,0.052208998798145806,0.17017847075251805,0.8269455182880279,0.0,0.0,52.30000241533291,4.0144824632891645,2.5003444404934414,26.606768042200958,14.028551718460344,0.0,0.05918885503852548,0.2486484034811602,0.2420136617034985,0.0,0.0
30,1.0,2.9642857142857144,1110.0,system,100.0,100.0,-7.884128261609777,1.4346264901080936,0.06201873643712441,0.5897894008454573,0.509379939344017,0.13852105667979103,0.08115527315596956,0.10178538111909931,2797.71725214785,21.865606893957214,0.26002383544008284,9.286440351607179e-5,0.1494803807435579,-755.8150510982625,3.8226775144162004,1.540594241362899,32.02907626917849,6.640187782615386,51.43124310950403,8.689912640803017,11.1291325592214,11.485945731054693,9.588519562018924,0.12751545441785564,3.1273600547799205,1.1392880775110208,1.24899673777375,0.0,2.032086072915375,50.61077971066095,14.512135339996332,10.222459601315144,7.581547997456409,11.284034718441228,0.19674323509766634,3.174793914933428,1.490588242955672,0.327316101099848,0.0,0.5996011380433226
30,1.0,2.9642857142857144,1110.0,liq,71.8111516414795,71.52398351201906,-,-,-,-,-,-,-,-,2700.8216494282565,63.04104619552594,0.2486248843457968,0.00011630683859902336,0.4279219964380706,-2076.135161469269,2.812144869552877,2.083879002469249e-9,21.358526405981685,1.1728457636835982e-17,52.441295729321006,8.621558844398571,10.179511495735232,9.157895361891025,10.514149531051897,0.17692824458016074,3.6915465396385683,1.0044943245650855,1.3647374080407655,0.0,2.8478825207776923,51.44840385264418,14.354371815426962,9.321880043072547,6.026557311626369,12.335861637403656,0.2721552016284857,3.7361859915162396,1.3102498280662018,0.3565641258993419,0.0,0.8377701927160253
30,1.0,2.9642857142857144,1110.0,cpx,9.324036548558338,9.547424790628765,-,-,-,-,-,-,-,-,3251.937617012277,68.01145624940945,0.26254663053048094,4.001429804904854e-5,0.49330788891056127,-2807.7557020944996,7.167186988490607,4.204582478420495,90.39481746698101,57.48942409710726,48.89037200514647,1.4632197791792267,18.26654835292453,22.46761013516665,7.070886113698386,0.008818964120205943,0.7383996672499932,0.28474284290524265,0.8094021396093218,0.0,0.0,52.389781125842894,2.660925455407627,18.27081053286222,16.14935731360476,9.061371438421713,0.01481705171696184,0.8162747873638961,0.4056805545636337,0.23098174021631188,0.0,0.0
30,1.0,2.9642857142857144,1110.0,fsp,12.206005679730533,11.876076884265247,-,-,-,-,-,-,-,-,2655.646862675903,102.87609299800421,0.33799482736814845,2.56027227825023e-5,0.642430374014344,-3789.187108250281,6.495792424427062,3.5125235845788603,68.36933630075659,32.764898106561226,57.82126901106886,21.089365494465568,17.17873098893114,0.0,0.0,0.0039240176784389414,3.906710487855989,0.0,0.0,0.0,0.0,50.86191972827869,31.48245168216895,14.105038925711092,0.0,0.0,0.005411990969463165,3.545177672871807,0.0,0.0,0.0,0.0
30,1.0,2.9642857142857144,1110.0,spn,1.362843133582504,1.739001607257399,-,-,-,-,-,-,-,-,4105.373057637544,46.99390409248085,0.20446710339528906,3.909416902605314e-5,0.40864879181672364,-1552.543426446423,7.9365222012136,4.566108621265513,144.46501554489163,85.59435130709372,0.0,1.4341230647494567,0.0,30.018847099369044,38.829323307064236,0.0,0.0,21.73907224476799,7.97863428404928,0.0,0.0,0.0,2.4329799769632467,0.0,20.12896025459838,46.42040037355963,0.0,0.0,28.893579594475018,2.124079800403726,0.0,0.0
30,1.0,2.9642857142857144,1110.0,opx,5.295962996649125,5.31351320582954,-,-,-,-,-,-,-,-,3295.476851822197,65.75981124421818,0.2693462034308107,3.9768995859322465e-5,0.4929034080688256,-2687.6121821218894,7.022016388784393,4.363632008139841,78.82891059144696,62.75011164773066,47.59652786843213,2.1145020423719036,2.4759692529022255,35.28697984051921,11.465108404561096,0.0,0.056241679177765035,0.1528454778099097,0.8518254342257704,0.0,0.0,52.094973316024216,3.9276118282518055,2.5295535379994556,25.906584452530712,15.007058012537053,0.0,0.06350391117618635,0.22242380893210453,0.24829113254846305,0.0,0.0
31,1.0,2.928571428571429,1100.0,system,100.0,100.0,-8.046170025261093,1.403831740903615,0.07490573753497365,0.5954955267438424,0.48355677805244673,0.13422669439060606,0.07740857737389827,0.10719425734348519,2788.001029672497,21.971536903522804,0.2592802012842555,9.582448900819011e-5,0.14948666575867456,-754.8812055328942,3.8034144146529067,1.5253383961592746,31.682151103731197,6.486722732855075,51.7366513400633,8.668837750268837,10.840882220174613,10.778231736646289,9.874360007058494,0.142472178362768,3.298195807488033,1.0982545481676136,1.283808395147892,0.0,2.2783060166221536,50.863296572273086,14.46328573860834,9.948300517654287,7.107695728105619,11.609459327640167,0.2196125892206205,3.345062772941872,1.4355467211249882,0.3361216283766052,0.0,0.6716184040544203
31,1.0,2.928571428571429,1100.0,spn,1.5294026867681598,1.9876176542531387,-,-,-,-,-,-,-,-,4176.587403073,46.991652170014305,0.20464073785656678,3.963353453429814e-5,0.4115053908640143,-1505.168970415929,7.84089108687356,4.493716494700577,144.32165384620993,84.33986733235858,0.0,1.4022326191506511,0.0,26.725772839240037,42.4949229093633,0.0,0.0,20.312751767285402,9.064319864960625,0.0,0.0,0.0,2.366730485551946,0.0,17.829297487943318,50.54319955009565,0.0,0.0,26.85998278379452,2.4007896926145675,0.0,0.0
31,1.0,2.928571428571429,1100.0,cpx,9.309732719877566,9.565079658524821,-,-,-,-,-,-,-,-,3258.9596315180424,68.01514835612109,0.26255374986165636,3.995406924085328e-5,0.4920309021168544,-2802.9883952440605,7.1541873939858,4.1845044668467155,90.71518500707617,57.064636150889896,48.9981946177336,1.3858318772743472,18.17440807029397,22.00508891961465,7.523307371152795,0.009990178622150214,0.8005579454320608,0.25843980020817053,0.8441812196682457,0.0,0.0,52.41458941598,2.5158373448608042,18.147235108018364,15.789572065438447,9.62449084914067,0.016755845297339953,0.8834592655432532,0.3675696448008555,0.24049046092028895,0.0,0.0
31,1.0,2.928571428571429,1100.0,liq,72.1324935596215,71.71532577804672,-,-,-,-,-,-,-,-,2687.207537119688,63.325111757700974,0.24755706023664276,0.0001201370156777257,0.4276309359060897,-2073.9817967331287,2.7997470034775183,2.0879587184033875e-9,21.063900079711452,1.171507368835126e-17,52.87766322295888,8.535826356115676,9.768155900218446,8.671641593337377,10.648724933242844,0.19672461106898234,3.8532554202915517,0.9154925596305756,1.3534706420877876,0.0,3.1790447610478867,51.91852818097843,14.223143518047198,8.9524268507731,5.71118935856745,12.50387361206787,0.30285154389651825,3.9030090987566055,1.1951242786784004,0.3539068889688553,0.0,0.9359466692655651
31,1.0,2.928571428571429,1100.0,fsp,12.529249079489723,12.191678180079453,-,-,-,-,-,-,-,-,2652.652969477586,102.8808666437236,0.33827092455521457,2.5751467140434968e-5,0.6401905384813991,-3787.421081562411,6.47496576091902,3.5024318781590176,67.82606272630188,32.54017106571281,58.28455527673475,20.85772236163262,16.71544472326525,0.0,0.0,0.004684947160542106,4.137592691206833,0.0,0.0,0.0,0.0,51.324928237972344,31.17034784430321,13.739498482039975,0.0,0.0,0.006468454678399156,3.75875698100608,0.0,0.0,0.0,0.0
31,1.0,2.928571428571429,1100.0,opx,4.499121954243064,4.540298729095864,-,-,-,-,-,-,-,-,3308.3421482042495,65.80812195813473,0.26940953568896786,3.973910340187779e-5,0.4921526837574203,-2679.340754555889,7.008569856709194,4.347145823185739,79.14596223933296,62.519980687184706,47.61031891636663,2.070853823120205,2.5118980893413014,34.4770041654249,12.26130184558565,0.0,0.06013232079105937,0.13656721159105537,0.8719236277792025,0.0,0.0,51.89997979557961,3.831029049356691,2.5559137522629682,25.209877866422243,15.984517468574671,0.0,0.0676231989975009,0.19793412361429913,0.2531247451920065,0.0,0.0
32,1.0,2.8928571428571432,1090.0,system,100.0,100.0,-8.22951180217018,1.3536519266798888,0.08981366825392548,0.6012034371292917,0.45820967817210717,0.12996558175818138,0.07377925536987656,0.11253755344709605,2778.6884337684382,22.064305020235583,0.25892631478571626,9.883362745514772e-5,0.14941833861046686,-753.9917482844531,3.7932808773277804,1.5194610781840454,31.428718214219323,6.415330177129002,52.07286657972945,8.629241181403716,10.523689775676383,10.153962321851019,10.108336016763328,0.15847323053198667,3.461965925743171,1.0441049219319953,1.304124237530674,0.0,2.5432358088383094,51.17325715423288,14.391434476556478,9.653341998814904,6.6933301037152,11.87977165744937,0.24417908644974906,3.5097486160203113,1.3642182333327333,0.3413033882035009,0.0,0.749415285224901
32,1.0,2.8928571428571432,1090.0,liq,72.17802838429269,71.61333647312182,-,-,-,-,-,-,-,-,2671.4465343542784,63.643551925878,0.2470309420056176,0.00012435915058928778,0.427427721536077,-2073.1232155501675,2.7870589104761643,2.0937935599323803e-9,20.75098822024045,1.1711545394552072e-17,53.36798375796178,8.461124809202373,9.350938964227112,8.198661819429653,10.6872244660167,0.21872088395016342,4.020244887062165,0.8306709044115315,1.3151968349429797,0.0,3.5492326727955423,52.45265172904373,14.112847782842058,8.57866989236415,5.405112632606149,12.56170044738101,0.33705275742937546,4.076249977619404,1.0854848947111109,0.3442448620123162,0.0,1.0459850239907065
32,1.0,2.8928571428571432,1090.0,cpx,9.34244397872363,9.635608741755359,-,-,-,-,-,-,-,-,3265.9483531306746,68.01647640613439,0.26269516435978824,3.9913010283883854e-5,0.49072612405233074,-2798.163242001873,7.139594154250929,4.162534920565617,91.02701691459586,56.58809741780152,49.11866392142439,1.3049714858677801,18.06550158485478,21.558868835861432,7.973412606684575,0.011251906205534228,0.8624524506339502,0.23581788360073855,0.8690593248667982,0.0,0.0,52.45203553085146,2.3649214847897957,18.00710540882373,15.442474544577852,10.182557909037483,0.01883921852662786,0.9501072020430176,0.33481173489218913,0.2471469664578381,0.0,0.0
