point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,density[kg/m3],volume[cm3/mol],heatCapacity[J/K],alpha[1/K],Entropy[J/K],Enthalpy[J],Vp[km/s],Vs[km/s],Vp_S[km/s],Vs_S[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%],heatCapacity[kJ/K]
23,1.0,2.8,1050.0,liq,92.87664573848221,92.74957200981349,-,-,-,-,-,-,-,-,2617.709284905952,65.45038719213647,,0.0001430837836581416,0.43037569387457664,-2087.244578459551,2.73846500868301,2.171267756843779e-9,-,-,19.630700872797615,1.234093826475199e-17,55.663252794049676,7.961311315723045,8.021448824957723,6.0933655020840085,11.056083648981826,0.34740479059741114,4.2359379031513305,0.6941832956843823,0.7474357963807075,0.0,5.179576128389911,54.807946145255,13.30330216873893,7.372348289479872,4.024457058420461,13.018864607838587,0.5363295525462957,4.302750651145702,0.9087768121330858,0.19599224977963495,0.0,1.529232464662433,0.24663736486625323
23,1.0,2.8,1050.0,ol,0.6688003464378072,0.6118962005062009,-,-,-,-,-,-,-,-,3614.336309235175,46.40059473843557,,3.989563832632822e-5,0.35927337927455627,-1703.8055668275895,7.006628578246794,3.9038840285097764,-,-,103.99323853621286,55.08360763327694,33.333333333333336,0.0,0.20277148149669208,38.01026358042216,28.453631604747816,0.0,0.0,0.0,0.0,0.0,0.0,35.824308503860294,0.0,0.2034154923177575,27.401546492361344,36.570729511460584,0.0,0.0,0.0,0.0,0.0,0.0,0.1895018033344991
23,1.0,2.8,1050.0,cpx,2.8423022409069314,2.6552472000023384,-,-,-,-,-,-,-,-,3311.2525732363665,68.05327208000888,,4.0109288167837504e-5,0.4867679604117257,-2762.4311035553865,7.019234735168442,4.013735907005019,-,-,92.01823558834,53.34453038215768,49.75392204119502,0.9926783566525018,17.215452344124923,19.22546955361252,10.946042696402285,0.0179838298116856,0.9580802207528006,0.2434431596938646,0.6469277977543972,0.0,0.0,52.368840382669326,1.7731851757633248,16.913837563606034,13.573683352066757,13.778426449796417,0.02967896822083357,1.0403252949948743,0.34068369144049365,0.1813391214419483,0.0,0.0,0.26206538241375243
23,1.0,2.8,1050.0,spn,0.5671787172143511,0.5953564535882009,-,-,-,-,-,-,-,-,4365.988425776222,47.35187078915179,,3.8274979149679014e-5,0.418601948160503,-1408.771322091878,7.554171529879295,4.200678595966734,-,-,146.42611210158162,77.04092487514436,0.0,1.1406577791410175,0.0,16.800539217186493,52.176231424365405,0.0,0.0,21.811601875510334,8.07096970379674,0.0,0.0,0.0,1.813336769137342,0.0,10.556538629934725,58.45110888197318,0.0,0.0,27.16557441215502,2.0134413067997428,0.0,0.0,0.20622327776475394
24,1.0,2.7454545454545456,1040.0,system,100.0,100.0,-10.02307753558416,0.2536568213073464,0.18239892418499926,0.6428277061196597,0.4466676703538547,0.10798722537421888,0.05142490594321556,0.15548727150151145,2638.971886667219,23.193045460859977,[1415.9096788645195],0.00013957642949514453,0.15200330124929648,-745.0567290956045,3.0059959723001914,0.7412975899820584,24.79667601461781,13.744711509403931,21.91221651264076,1.4501734176358128,55.66325279404967,7.9613113157230435,8.021448824957723,6.093365502084006,11.05608364898182,0.347404790597411,4.2359379031513305,0.694183295684382,0.7474357963807071,0.0,5.179576128389908,54.807946145254995,13.303302168738929,7.372348289479872,4.0244570584204595,13.018864607838582,0.5363295525462953,4.302750651145702,0.9087768121330853,0.19599224977963486,0.0,1.5292324646624322,
24,1.0,2.7454545454545456,1040.0,spn,0.5825365547346383,0.6126674934413195,-,-,-,-,-,-,-,-,4442.893531093263,47.31230067611538,,3.9075926066064756e-5,0.4212896382735648,-1355.201857866503,7.464633969548134,4.136100024678806,-,-,146.22005010678214,76.00601653103855,0.0,1.1440594552910253,0.0,13.552592456574894,55.91685487258735,0.0,0.0,19.834091772768947,9.552401442777779,0.0,0.0,0.0,1.8176228858966799,0.0,8.510455116891261,62.60296015106217,0.0,0.0,24.687421688829417,2.381540157320468,0.0,0.0,0.20554868269809864
24,1.0,2.7454545454545456,1040.0,liq,92.86804711657084,92.72182364690205,-,-,-,-,-,-,-,-,2600.3628556273557,65.65015973937668,,0.00014767576193732286,0.4289561654611425,-2083.2167375896042,2.723617023420534,2.1819715994853052e-9,-,-,19.289724890280276,1.238032771416116e-17,56.209955529361956,7.889299067575524,7.640746089175724,5.631601035327157,10.976532077023123,0.37306576449809786,4.3627833371956966,0.6162532743614649,0.7240425415974465,0.0,5.575721283883846,55.43123187344597,13.203212433500106,7.033235140169528,3.7251888190190603,12.945036755442723,0.5768297670261711,4.438401459391061,0.807994976315893,0.19014960666611072,0.0,1.648719169023382,0.2450615631425754
24,1.0,2.7454545454545456,1040.0,fsp,3.030345885210526,3.372372325771295,-,-,-,-,-,-,-,-,2640.755428638714,102.8603762814947,,2.6319483179364456e-5,0.6261629195010285,-3785.024528286841,6.389556444793608,3.462775832257112,-,-,65.59286921407033,31.664813672343605,60.29770335934508,19.851148320327454,14.702296640654911,0.0,0.0,0.012032996442487252,5.136818683230057,0.0,0.0,0.0,0.0,53.347539819224544,29.80568878178069,12.14162701331469,0.0,0.0,0.016692000631194467,4.6884523850488655,0.0,0.0,0.0,0.0,0.3335595238621393
24,1.0,2.7454545454545456,1040.0,ol,0.7284951485584205,0.6748994250560123,-,-,-,-,-,-,-,-,3650.1706027730356,46.46152598160333,,3.970535162194829e-5,0.3601096859226334,-1684.7717275831346,6.957150210586794,3.860832741396494,-,-,104.12926767638933,54.409550528153275,33.33333333333333,0.0,0.20436528888494818,36.01776913238713,30.444532245394583,0.0,0.0,0.0,0.0,0.0,0.0,35.426095677264925,0.0,0.20273548035747774,25.676538662732906,38.694630179644676,0.0,0.0,0.0,0.0,0.0,0.0,0.18957260638092205
24,1.0,2.7454545454545456,1040.0,cpx,2.7905752949255893,2.6182371088293124,-,-,-,-,-,-,-,-,3321.195589506673,68.07548556578544,,4.007699889753265e-5,0.4857030146716708,-2755.129608513777,7.001597744164093,3.9890544661743577,-,-,92.34793657945457,52.84870925765149,49.850531442884524,0.9310316128934262,17.157242485157038,18.519696802748513,11.588704036940472,0.019657526651230255,1.0252288167700863,0.2211572962626599,0.686749979692051,0.0,0.0,52.31322617297813,1.6580821415253066,16.806113087589893,13.036190726790299,14.543650567013236,0.03234383876086435,1.1099007987765377,0.30856816329018044,0.19192450327555358,0.0,0.0,0.2617446599258906
