point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,density[kg/m3],volume[cm3/mol],heatCapacity[kJ/K],alpha[1/K],Entropy[J/K],Enthalpy[J],Vp[km/s],Vs[km/s],Vp_S[km/s],Vs_S[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%]
36,1.0,2.2203389830508473,955.9322033898303,cpx,9.27431688045116,10.376831087557566,-,-,-,-,-,-,-,-,3374.21832408918,68.11442520062248,0.26009593750366455,3.979580348436781e-5,0.4730051187357266,-2729.0360112176054,6.928631182347705,3.8703243368748,-,-,94.59075380914854,50.54380130071837,50.364075565195435,0.5987412707198334,16.787829284035336,15.233372366709075,14.769361534091507,0.03739594898284898,1.277244873875372,0.17890740170783886,0.7530717546827717,0.0,0.0,52.05810482006493,1.0502836002074305,16.197206229266147,10.561817695406491,18.25685880011009,0.06060563753231328,1.3619567076253987,0.24586908630990725,0.20729742347729785,0.0,0.0
36,1.0,2.2203389830508473,955.9322033898303,opx,0.33477155125922475,0.37922529939121646,-,-,-,-,-,-,-,-,3500.8230506497157,66.46730300629832,0.26757000619751387,4.01522466895666e-5,0.47982531588718946,-2548.1559708076193,6.71084981539342,3.994787625442738,-,-,83.1716240375497,55.867283115737166,48.596179176369894,1.2653366702749638,2.3419447081055043,22.853865995241797,24.294431756843917,0.0,0.058198645157603104,0.05322823156084654,0.5368148164454507,0.0,0.0,49.79784041471777,2.200464576506266,2.240077804038052,15.708806247176538,29.7722720199518,0.0,0.06152376532206311,0.0725201267007604,0.1464950455867334,0.0,0.0
37,1.0,2.169491525423729,946.1016949152541,system,100.0,100.0,-11.708818598307138,0.05029800320665924,0.47361822626652367,0.7384228583852792,0.41468753927916946,0.07719224344664999,0.029826965655125496,0.15963399803536432,2584.9850078145923,23.423570958934498,0.24150449408824395,0.00015619819245216813,0.14530544644785492,-759.2620255087054,3.631772854812073,1.4701029698984074,6.555689029007057,3.6021631768300217,26.646465975114417,5.586676687186931,58.86606347465724,7.612776987713551,6.313305768524051,4.610332168783596,9.024296692296023,0.5316727102035379,4.44629806640136,0.5104603515933731,0.5320394935044147,0.0,7.552754286322888,58.825622590476144,12.910544182242607,5.8889306862524,3.090358598612636,10.784791454740994,0.8330419769533483,4.583758823280249,0.6782217066738118,0.14159094095581337,0.0,2.2631390398120015
37,1.0,2.169491525423729,946.1016949152541,liq,72.7407551207603,69.93575947915957,-,-,-,-,-,-,-,-,2383.114498766805,65.6975299029774,0.22700725077279504,0.00020549805934626282,0.3977545310088909,-2013.5313197735754,2.561201333737404,2.378438218284456e-9,-,-,15.63264074757455,1.3481203313482266e-17,62.19155319624118,7.342867130916467,4.259186473227218,2.7160656066963016,6.600383020723695,0.7343178885805342,4.914374796495622,0.33508529639154516,0.29762074569459124,0.0,10.608545845032827,63.285947308892446,12.680648217336197,4.045578360346743,1.8539211559413058,8.03233603503632,1.1716043325670469,5.159003292680336,0.4533560186033551,0.08065459992184382,0.0,3.2369506786744315
37,1.0,2.169491525423729,946.1016949152541,cpx,9.083469686163795,10.232816988234012,-,-,-,-,-,-,-,-,3379.5426212960087,68.11646641818774,0.2593594518429212,3.9760839078042926e-5,0.47135346118549737,-2727.314590550006,6.923809887489198,3.860042620336562,-,-,94.87245125519647,50.35494521392418,50.40454647780378,0.5781387664792212,16.797686603458377,14.862439957811722,15.058912288424036,0.03928384138974048,1.310854621478625,0.18122866294523057,0.7669087802092908,0.0,0.0,52.015753334260275,1.0125049975894538,16.180529756889676,10.287987229529026,18.58470335630662,0.06356237393105861,1.3955370102074793,0.2486567195065143,0.21076522177989146,0.0,0.0
37,1.0,2.169491525423729,946.1016949152541,ol,2.895490414323565,3.6386870172887975,-,-,-,-,-,-,-,-,3847.3791134389644,46.722086544886906,0.18998230492685747,3.837347673226934e-5,0.35825583639713665,-1589.2606366609398,6.725435898967887,3.64973156186818,-,-,105.69045672309298,51.24916919821923,33.33333333333334,0.0,0.16783859792839262,25.29637152692504,41.202456541813234,0.0,0.0,0.0,0.0,0.0,0.0,33.42279086666952,0.0,0.1570847011277858,17.013643147354472,49.40648128484823,0.0,0.0,0.0,0.0,0.0,0.0
37,1.0,2.169491525423729,946.1016949152541,spn,1.200594299785107,1.8459108432332616,-,-,-,-,-,-,-,-,4668.2550264163365,47.11123759831301,0.20331574023572796,4.0920979505911915e-5,0.4179119605845888,-1216.663088616861,7.265952185986163,3.989070105024841,-,-,147.41020834086777,74.28444980731585,0.0,0.8741495964227716,0.0,5.4382668849769304,65.49151898072684,0.0,0.0,14.53255734433943,13.663507193534045,0.0,0.0,0.0,1.3940818425150723,0.0,3.427979732647642,73.60113613656263,0.0,0.0,18.157363333622325,3.4194389546523207,0.0,0.0
37,1.0,2.169491525423729,946.1016949152541,fsp,13.752727153292227,13.97353954489844,-,-,-,-,-,-,-,-,2624.3765740675494,102.84931511586333,0.32897551418078286,2.7245546807513623e-5,0.6031125559319471,-3788.3368950321656,6.274197596645516,3.414350900261817,-,-,62.517459745907445,30.594436414169905,63.02147144716851,18.489264276415746,11.978528552831493,0.0,0.0,0.034036612796571754,6.476699110787683,0.0,0.0,0.0,0.0,56.11137328094608,27.937136626240044,9.955060694876181,0.0,0.0,0.04751488382439829,5.948914514113286,0.0,0.0,0.0,0.0
37,1.0,2.169491525423729,946.1016949152541,opx,0.3269633256750032,0.3732861271859293,-,-,-,-,-,-,-,-,3509.281992922396,66.48002021794936,0.26722990694624194,4.014524475053445e-5,0.47839112884871576,-2543.310167878507,6.700141882464371,3.98113759409636,-,-,83.37805740846287,55.62021244440287,48.647813959683226,1.220667874948646,2.290121959138353,22.414614991424266,24.799943445502958,0.0,0.05774572052890415,0.05033477904932656,0.5187572697243217,0.0,0.0,49.734431338193325,2.1178307264974516,2.1853978881085743,15.370933112303781,30.320849582734283,0.0,0.06090252232040113,0.06841796078713715,0.14123686905504684,0.0,0.0
38,1.0,2.11864406779661,936.271186440678,system,100.0,100.0,-11.897301580976189,0.029517596175247865,0.5068031180977977,0.7473437905827213,0.41939713766956915,0.07437265564465512,0.028207654571391513,0.1586877309637826,2568.458892967218,23.521741108523283,0.23971617291151112,0.00016076377957873243,0.14494252847059752,-760.4770497126694,3.612890185330468,1.463701583799968,6.540698670903243,3.5915438838799068,26.189066077827825,5.502723676781202,59.30201815294497,7.576599470119902,6.044087198945929,4.359459903706553,8.708326465052895,0.5580238896816297,4.506572649689348,0.48719941660564847,0.5013034694784885,0.0,7.956409383774621,59.40223949410489,12.87975426320024,5.651219124639414,2.9291469143084217,10.431935551515185,0.8764095792274684,4.656947795780105,0.6488558682786205,0.1337285433309283,0.0,2.3897628656147307
38,1.0,2.11864406779661,936.271186440678,spn,1.135961213786121,1.7584078580842246,-,-,-,-,-,-,-,-,4676.176973707648,47.10629835121641,0.20303660495952192,4.085536685892617e-5,0.4167351028143258,-1214.1801925409898,7.262830023473757,3.984336073779646,-,-,147.6835886444573,74.23400059061035,0.0,0.8356201542199383,0.0,5.185678878582492,65.7731384825601,0.0,0.0,14.493490246989749,13.712072237647716,0.0,0.0,0.0,1.3318475539526997,0.0,3.2668293622248115,73.87391620562191,0.0,0.0,18.09784328940567,3.429563588794908,0.0,0.0
38,1.0,2.11864406779661,936.271186440678,cpx,8.886850099055103,10.078477825618403,-,-,-,-,-,-,-,-,3384.5664975425416,68.1176729896633,0.25943120817087073,3.97009291424437e-5,0.4696578615726047,-2725.9806990843454,6.9203610225908,3.8509917414719053,-,-,95.166835168567,50.193586173910845,50.4393935311641,0.5610689870423856,16.816902607532576,14.50631960423304,15.324905042173032,0.04115324135286029,1.3437696375383814,0.18454945958773472,0.7819378893758938,0.0,0.0,51.97215107785985,0.9811084197087013,16.174278846693994,10.026126963833065,18.884064571847574,0.06648533511950985,1.4283916673165291,0.25282600725045473,0.21456711037033538,0.0,0.0
38,1.0,2.11864406779661,936.271186440678,ol,2.9095962142412097,3.6923371792394946,-,-,-,-,-,-,-,-,3863.6575245899103,46.73947302215807,0.1892998596883638,3.8255365111032166e-5,0.3577089540340362,-1581.8139016488944,6.708127520533733,3.6336977102978727,-,-,105.840890366526,51.01480300572463,33.333333333333336,0.0,0.163080960178402,24.424225842906967,42.0793598635813,0.0,0.0,0.0,0.0,0.0,0.0,33.26959307584579,0.0,0.1519322902398578,16.351766352832232,50.226708281082125,0.0,0.0,0.0,0.0,0.0,0.0
38,1.0,2.11864406779661,936.271186440678,liq,72.99962307994734,70.06745906001616,-,-,-,-,-,-,-,-,2363.645304004936,65.49746795196938,0.2247726761448418,0.00021136471982438902,0.39368308571085875,-2001.9547956037668,2.5445024818918327,2.394468738164815e-9,-,-,15.303404692461408,1.355191434936227e-17,62.64442876002418,7.30603893710477,3.9743834922651935,2.486918973618118,6.136907970995176,0.7679440667018348,4.95237948135636,0.3200861817548728,0.26905239072473436,0.0,11.141859745454765,63.98062225075402,12.663329034877002,3.7889062318819007,1.7037378199344637,7.4957046399797385,1.229749272407363,5.217969901530489,0.434651381447922,0.07318008679880683,0.0,3.412149380388301
38,1.0,2.11864406779661,936.271186440678,fsp,13.708061139318337,13.989272747379827,-,-,-,-,-,-,-,-,2622.2636106245095,102.84942630813339,0.3280084138727598,2.738452603209642e-5,0.6006485625891056,-3787.781926494072,6.2585461121071,3.407666957720646,-,-,62.11217877576938,30.450234014148357,63.36772828913464,18.316135855432677,11.632271710865357,0.0,0.0,0.03748215018298027,6.646381994384341,0.0,0.0,0.0,0.0,56.46506489574884,27.697811318097482,9.675074381115614,0.0,0.0,0.05236693657684966,6.109682468461209,0.0,0.0,0.0,0.0
38,1.0,2.11864406779661,936.271186440678,opx,0.35990825365188817,0.41404532966187346,-,-,-,-,-,-,-,-,3517.3336756077842,66.49029786178414,0.2672470655784258,4.0109036552210686e-5,0.4768997570308624,-2538.85174505963,6.690421198447724,3.9682937129802465,-,-,83.59035806339277,55.38870201679517,48.69864677111682,1.1767768362298865,2.2372981345451466,22.00415606424578,25.27738472558197,0.0,0.05726257251507807,0.047707348214261945,0.5007675475510596,0.0,0.0,49.67776168901487,2.0372256725924425,2.1303309059245557,15.056532473303955,30.837141491768627,0.0,0.06026117967068211,0.06470510345307764,0.13604148427179716,0.0,0.0
39,1.0,2.0677966101694913,926.4406779661018,system,100.0,100.0,-12.086838761197987,0.01044307038719323,0.5406240367305762,0.7560433015299849,0.42531601500522087,0.07164860750516033,0.026697603902941704,0.15750887571525404,2552.438866412139,23.615075459820414,0.23815448688856086,0.00016523199864189236,0.14455709657730928,-761.676452147137,3.594911085828834,1.4579963745917361,6.526125642964676,3.581751749250071,25.751677756827064,5.4258556708595735,59.71623476284651,7.541989749680724,5.787451803336605,4.124180242503569,8.390936626954804,0.5837754192579451,4.56041646426269,0.4661445836178859,0.4724755384481856,0.0,8.356394809091071,59.962069623538305,12.851979917543455,5.424374503040827,2.7777743105067625,10.076077220801274,0.9190750591208843,4.724005020085373,0.6223188731913998,0.12634369818972463,0.0,2.515981773981994
39,1.0,2.0677966101694913,926.4406779661018,liq,73.22829054375376,70.17700057064643,-,-,-,-,-,-,-,-,2345.0743060056475,65.27043400667851,0.2226068815043588,0.0002171125321225095,0.3895516360102684,-1989.9298071869296,2.5281070779797465,2.4098855606608333e-9,-,-,14.988132971540981,1.3619132570029659e-17,63.058512843587756,7.268593895248329,3.706164450147282,2.2749534929105857,5.689363882349125,0.8008972833734465,4.981788927509597,0.30671340366309036,0.24354012646294917,0.0,11.669471694747852,64.6422627922124,12.645125209668842,3.546300988569553,1.564301533725837,6.974826133243378,1.2872728972697942,5.268412811237626,0.41803602922558913,0.06648649093285536,0.0,3.5869751139141197
39,1.0,2.0677966101694913,926.4406779661018,spn,1.073900189056957,1.6731284470357939,-,-,-,-,-,-,-,-,4682.7314292885,47.10346121783127,0.2043160954124335,4.076827624487271e-5,0.41548633203221397,-1212.7879286755629,7.262377864905825,3.98025325273494,-,-,148.0628681971708,74.18577911258765,0.0,0.7969980122111052,0.0,4.975813598371859,65.99951637148654,0.0,0.0,14.504684096144196,13.7229879217863,0.0,0.0,0.0,1.2693100039450917,0.0,3.1322021741442105,74.07099242746266,0.0,0.0,18.097849345912543,3.429646048535495,0.0,0.0
39,1.0,2.0677966101694913,926.4406779661018,cpx,8.687747922707237,9.917171006493685,-,-,-,-,-,-,-,-,3389.282920617608,68.11792878593681,0.2594882783469629,3.9611708652691565e-5,0.46791756186199246,-2725.0282372252746,6.9182738191078945,3.8430896782999744,-,-,95.47630866112527,50.05746596582626,50.469365845289445,0.5470425851701803,16.844351489461328,14.16578354441293,15.567159784038392,0.04301616470290995,1.3762813949018082,0.18887917300393786,0.798120019019069,0.0,0.0,51.92833482403471,0.9552071996638146,16.17740748137467,9.776699621179773,19.155027515585278,0.06939516515795588,1.4608493627699413,0.2583858658555465,0.21869296437832575,0.0,0.0
39,1.0,2.0677966101694913,926.4406779661018,ol,2.892817520206661,3.70565818479303,-,-,-,-,-,-,-,-,3878.8889143528254,46.754528547732335,0.1895375476511795,3.812330029439186e-5,0.3570809591112748,-1575.0096246402431,6.693313406925974,3.619070715590244,-,-,106.0367229988479,50.80441800012954,33.333333333333336,0.0,0.15812640263326808,23.612855699231414,42.89568456480199,0.0,0.0,0.0,0.0,0.0,0.0,33.128280876299236,0.0,0.14669071526588448,15.741415760949643,50.98361264748523,0.0,0.0,0.0,0.0,0.0,0.0
39,1.0,2.0677966101694913,926.4406779661018,fsp,13.68547492527306,14.026629180265928,-,-,-,-,-,-,-,-,2620.1284786350693,102.84966317591588,0.3276649036331573,2.756334970775941e-5,0.5981697806648126,-3787.171442139971,6.242737115693215,3.4008966116859503,-,-,61.70481960000196,30.304662136501396,63.71763042275508,18.14118478862246,11.282369577244923,0.0,0.0,0.04122278370264283,6.817592427674896,0.0,0.0,0.0,0.0,56.822988455790515,27.45554088643666,9.391670705990125,0.0,0.0,0.05763983758009909,6.272160114202609,0.0,0.0,0.0,0.0
39,1.0,2.0677966101694913,926.4406779661018,opx,0.431768899002313,0.5004126107651388,-,-,-,-,-,-,-,-,3524.973512000781,66.49817065253488,0.26730986965770126,4.00937555447358e-5,0.47535081451306277,-2534.7864752805617,6.681541017513425,3.956252303490641,-,-,83.80182957300512,55.17264672991415,48.74880033403197,1.1335257261287817,2.1837295162461516,21.622557346681994,25.726452103092285,0.0,0.05677016008203696,0.04531035515695524,0.4828544585798282,0.0,0.0,49.62799495735139,1.9583669933557293,2.075103304975958,14.765391839293102,31.321282943369567,0.0,0.05962172864917766,0.0613293547409291,0.13090887826415165,0.0,0.0
40,1.0,2.016949152542373,916.6101694915254,system,100.0,100.0,-12.277774318006648,-0.007199901178024195,0.5750539367405773,0.7644979030617176,0.4324163719244952,0.0690034799265903,0.025289466479322596,0.15612261357281498,2536.9371734822034,23.70460589424448,0.23654370222251095,0.00016959665536132087,0.14415553253844052,-762.8492405488182,3.5775117919492563,1.4528374664910544,6.511125538669483,3.5725515594727995,25.329478438738324,5.354806407912748,60.108681415303856,7.50882052393898,5.542573026823535,3.9040657514237616,8.073487757189271,0.6090537823798051,4.6086160227526065,0.44710878996088593,0.445489159166414,0.0,8.752103771060888,60.50448554550978,12.826908544175797,5.207627076276099,2.635983072327601,9.718705250411544,0.9612292878320083,4.785667759231066,0.5983726180479406,0.11942013842207815,0.0,2.641600707766111
40,1.0,2.016949152542373,916.6101694915254,liq,73.42870603361673,70.2667192068772,-,-,-,-,-,-,-,-,2327.4212772869964,65.0228826586786,0.22037790825209128,0.00022271842085095739,0.38539795387012526,-1977.6480723930583,2.512071553809184,2.4246752931841597e-9,-,-,14.687200096411573,1.3683026705808856e-17,63.436603971390994,7.230233406157459,3.45373553394298,2.079041485512736,5.259636391164635,0.833448110387339,5.003163529371299,0.2947241462115372,0.22076112233152956,0.0,12.18865230352948,65.27153253011389,12.625137149001334,3.3170425631005114,1.4349017391451968,6.471969388786583,1.3445700385299233,5.310681186928203,0.40318812726076786,0.060491804010878454,0.0,3.760485473122728
40,1.0,2.016949152542373,916.6101694915254,fsp,13.687520458769322,14.08807188801067,-,-,-,-,-,-,-,-,2617.9406802577373,102.85025404601325,0.3271647783758447,2.7752142356118858e-5,0.5956777071841266,-3786.4556624465918,6.226363700467995,3.3939252106932316,-,-,61.28416003029931,30.155347495073602,64.07531622433356,17.962341887833226,10.924683775666447,0.0,0.0,0.0453416348423154,6.9923164773244615,0.0,0.0,0.0,0.0,57.189395112433075,27.20743535744827,9.101473326412442,0.0,0.0,0.06345164689124748,6.438244556814969,0.0,0.0,0.0,0.0
40,1.0,2.016949152542373,916.6101694915254,spn,1.014564788866806,1.5904788765321394,-,-,-,-,-,-,-,-,4688.082751066065,47.10271398286231,0.20376409427575318,4.066699551906979e-5,0.41417460483541546,-1212.365477794941,7.261901373879457,3.976667355701864,-,-,148.37797793510975,74.13679332875617,0.0,0.7583332868163097,0.0,4.801644058837978,66.17856573588448,0.0,0.0,14.562494247477575,13.698962670983667,0.0,0.0,0.0,1.2065754313092902,0.0,3.0196703913030167,74.20081141401143,0.0,0.0,18.1525797908587,3.420362972517578,0.0,0.0
