2022_12_PVFZCE_ANDEAN_ARC_part1,ROCK TYPE,SIO2,TIO2,AL2O3,FEOT,MGO,CAO,NA2O,K2O,SUM
s_FA-12-19A [23308],PLU,54.349,1.561,16.765,12.102,5.777,5.927,2.390,0.905,99.776
s_LG081 [22118],PLU,54.360,1.290,16.080,7.780,4.810,7.510,3.680,1.620,97.130
s_900681 [21647],PLU,54.440,0.688,12.730,12.446,9.753,7.463,2.443,2.327,102.290
s_MLL9 [23641],PLU,54.500,1.100,17.700,6.611,4.650,7.610,4.450,1.520,98.141
s_4/7 [5804],PLU,54.510,0.920,18.570,7.770,2.550,6.240,3.380,4.800,98.740
s_FA2-11-07 [23308],PLU,54.566,1.024,19.854,9.228,4.060,7.443,2.938,0.567,99.680
s_C-45 [23374],PLU,54.570,1.720,18.290,7.670,4.470,7.100,4.770,1.180,99.770
s_RB-16-10 [22188],PLU,54.672,1.022,18.595,7.913,3.739,7.846,3.864,1.211,98.861
s_MT70 [24146],PLU,54.680,0.710,16.760,7.830,3.200,7.900,3.370,3.270,97.720
s_VF-3 [23374],PLU,54.690,1.130,14.940,7.440,8.820,8.570,2.910,1.480,99.980
s_ZMMH-15 [21851],PLU,54.730,0.414,21.830,3.040,3.370,2.350,4.440,4.440,94.614
s_060496-3 [7426],PLU,54.900,0.990,17.130,2.561,5.130,13.620,4.090,0.080,98.501
s_C-1 [23374],PLU,54.940,1.380,17.880,7.950,5.110,7.970,3.530,1.210,99.970
s_PAL14-10 [24959],PLU,54.950,0.990,17.950,7.340,4.220,7.740,3.260,1.450,97.900
s_POT-118A [22402],PLU,54.970,1.180,18.600,6.240,2.580,5.400,4.570,2.240,95.780
s_AR-20 [4771],PLU,55.000,0.210,3.840,9.490,27.740,3.150,0.220,0.180,99.830
s_TAB-32 [23868],PLU,55.040,0.950,15.800,7.660,6.040,5.260,3.300,3.080,97.130
s_XM1 [7507],PLU,55.040,0.050,3.470,5.430,32.530,1.550,0.030,0.010,98.110
s_10720O [22835],PLU,55.100,0.720,15.900,12.576,2.560,6.150,3.500,2.430,98.936
s_VF-6 [23374],PLU,55.200,2.260,18.680,7.590,2.030,5.900,5.570,1.800,99.030
s_P11-8 [23374],PLU,55.200,1.630,17.100,8.150,4.170,4.840,5.090,2.940,99.120
s_CL 601 [24360],PLU,55.202,0.684,21.001,5.440,1.787,6.054,3.767,4.788,98.722
s_PU146 [7395],PLU,55.270,0.930,11.940,6.580,9.260,2.910,0.080,4.410,91.380
s_A1015-21 [24959],PLU,55.270,1.100,18.270,5.710,4.060,7.770,4.030,1.110,97.320
s_FA923 [23308],PLU,55.270,1.180,18.600,9.640,3.970,6.730,2.740,1.360,99.490
s_LAN-04-02 [13695] / s_LAN_04_02 [11543],PLU,55.300,0.932,16.200,8.120,4.160,7.570,3.210,1.500,96.992
s_900752 [21647],PLU,55.300,1.200,16.570,11.094,3.430,6.250,3.490,2.430,99.764
s_HU-03 [23943],PLU,55.330,0.790,16.490,8.610,1.500,12.430,1.350,0.070,96.570
s_RJ1109 [20547],PLU,55.330,1.220,15.430,9.350,3.680,5.940,4.320,1.320,96.590
s_11TPM61C [22118],PLU,55.358,1.048,17.364,8.180,3.588,7.145,2.913,1.804,97.399
s_13910H [23254],PLU,55.400,0.870,18.800,7.560,3.930,7.570,3.610,1.270,99.010
s_CL91 [24938],PLU,55.437,0.852,17.882,7.890,3.760,8.159,3.068,0.851,97.900
s_A1015-28 [24959],PLU,55.460,0.880,17.030,7.230,4.240,6.890,3.400,1.540,96.670
s_CD-4 [23374],PLU,55.480,1.420,17.660,8.730,4.440,6.920,4.190,1.080,99.920
s_10715L [23254],PLU,55.500,0.810,17.900,6.840,2.900,6.200,3.800,2.520,96.470
s_900782 [21647],PLU,55.580,1.160,17.420,10.876,3.070,6.480,4.080,2.150,100.816
s_10719Q [23254],PLU,55.600,0.770,16.600,7.390,2.680,6.020,3.400,2.510,94.970
s_I34 [11169],PLU,55.600,0.850,18.800,5.730,2.030,3.700,6.220,4.250,97.180
s_VF-2 [23374],PLU,55.620,1.800,18.350,7.500,2.630,6.500,5.040,2.150,99.590
s_FC1737A [25093],PLU,55.672,1.108,18.612,7.475,2.482,7.355,3.961,2.827,99.493
