2022_12_PVFZCE_ANDEAN_ARC_part1,ROCK TYPE,SIO2,TIO2,AL2O3,FEOT,MGO,CAO,NA2O,K2O,SUM
s_148/62 [9337],VOL,60.000,1.200,16.700,5.348,2.800,5.300,4.200,2.900,98.448
s_CH-DB-13G [20960],VOL,60.000,0.890,17.900,5.690,2.140,5.700,4.570,1.720,98.610
s_CAY 68 [8494],VOL,60.000,0.840,17.100,6.210,3.000,5.800,3.800,1.870,98.620
s_JMI-237 [20737],VOL,60.000,0.850,16.900,5.710,3.000,5.600,4.240,2.350,98.650
s_CAY 139H [8494],VOL,60.000,0.770,17.900,6.300,2.640,6.050,4.480,1.170,99.310
s_THML32 [5426],VOL,60.000,0.700,15.300,5.763,6.270,6.400,3.600,2.000,100.033
s_CHA-02-26 [25790],VOL,60.003,0.876,17.013,5.780,3.403,5.532,3.698,2.669,98.974
s_CHA-12-12 [25790],VOL,60.008,0.943,17.635,5.510,2.899,5.260,4.034,2.686,98.973
s_GNZ 02 [20438],VOL,60.010,0.740,16.060,4.070,1.770,3.530,3.940,4.290,94.410
s_NEG-57 [25792],VOL,60.010,1.040,16.480,5.530,2.960,5.740,4.180,2.460,98.400
s_NEG-83 [25792],VOL,60.010,1.010,16.390,5.700,3.170,5.950,4.340,2.260,98.830
s_ABE1853 [23729],VOL,60.010,1.040,16.450,6.720,1.680,6.490,5.010,1.460,98.860
s_AG14-035 [21640],VOL,60.020,0.510,17.510,5.810,3.070,7.070,3.640,0.990,98.620
s_JK 240A [18493],VOL,60.020,1.210,16.810,7.110,2.380,5.570,4.680,0.960,98.740
s_AN27-9 [23172],VOL,60.024,0.929,17.496,6.890,2.427,5.669,4.553,1.705,99.693
s_NEG-18 [25792],VOL,60.030,1.070,16.650,5.400,2.680,5.610,4.430,2.230,98.100
s_ML5 [7067],VOL,60.050,0.660,16.800,4.880,1.680,6.030,3.250,3.340,96.690
s_CVC-18 [24275],VOL,60.050,0.520,15.830,6.200,4.850,6.640,3.790,1.200,99.080
s_Z302 [23551],VOL,60.060,0.840,16.880,5.420,2.410,4.780,3.730,2.040,96.160
s_B [5425],VOL,60.060,0.690,15.650,3.450,4.510,6.230,3.970,2.110,96.670
s_T158 [4223],VOL,60.060,1.460,16.910,5.630,3.090,5.430,2.940,3.180,98.700
s_T14-006 [23710],VOL,60.070,0.640,18.120,5.660,2.670,5.130,3.590,1.300,97.180
s_PP33 [22118],VOL,60.078,0.691,17.828,6.220,1.086,5.410,3.287,2.784,97.383
s_1742 [23057],VOL,60.080,1.060,14.930,7.650,3.040,3.900,4.210,2.050,96.920
s_11P [20337],VOL,60.080,0.900,16.240,5.670,3.310,5.510,4.430,1.740,97.880
s_T14-028 [23710],VOL,60.080,0.570,17.450,5.850,3.410,6.650,3.700,1.450,99.160
s_NEG-11 [25792],VOL,60.090,1.060,16.270,5.200,2.880,5.850,4.450,2.170,97.970
s_DARE-136A-MC [20576],VOL,60.096,1.235,16.558,7.120,2.370,5.462,4.579,1.295,98.716
s_LH Q235 [23496],VOL,60.100,0.650,15.150,3.870,1.620,4.630,3.500,3.380,92.900
s_QC-150 [4687],VOL,60.100,0.830,18.000,4.810,2.000,6.000,4.880,1.300,97.920
s_COR-00-03 [13695],VOL,60.100,1.053,16.400,5.300,2.590,5.070,4.540,2.930,97.983
s_PAR 129 [13695],VOL,60.100,1.130,16.540,5.470,2.390,4.840,4.380,3.230,98.080
s_RIO 62 [20960],VOL,60.100,0.750,16.600,5.830,3.650,5.770,4.120,1.680,98.500
s_BAR-01-43 [13695],VOL,60.100,0.733,17.900,5.310,2.390,5.790,4.480,2.020,98.723
s_LTA-98-82 [13695],VOL,60.100,1.012,15.300,6.120,4.330,5.850,3.640,2.440,98.792
s_JMI-113 [20737],VOL,60.100,0.730,17.550,5.740,2.820,5.550,4.250,2.110,98.850
s_LT7 [20337],VOL,60.100,0.830,17.770,5.450,2.750,5.820,4.120,2.170,99.010
s_116158 [6304],VOL,60.100,0.700,16.170,5.245,5.180,6.310,3.720,2.150,99.575
s_WT2 [6304],VOL,60.100,0.690,16.730,5.370,5.430,6.160,3.660,1.940,100.080
s_AG24 [5426],VOL,60.100,0.800,15.400,5.934,5.650,6.450,3.700,2.250,100.284
s_MLWT80 [6304],VOL,60.110,0.690,16.270,5.690,5.400,6.340,3.690,1.970,100.160
s_TG 145 [22096],VOL,60.120,0.780,17.260,5.930,2.950,5.840,4.180,1.940,99.000
s_NEG-76 [25792],VOL,60.130,1.050,16.100,5.270,2.970,5.730,4.300,2.060,97.610
s_82-48 [4437],VOL,60.130,0.750,15.620,5.340,4.510,5.660,4.400,2.070,98.480
s_CVC-30 [24275],VOL,60.130,0.620,16.020,6.510,3.910,7.050,3.840,0.930,99.010
s_ANT-14-15 [21645],VOL,60.130,0.900,17.260,6.740,2.250,5.450,4.560,1.760,99.050
s_CA-19-05 [24895],VOL,60.130,0.710,17.940,6.610,2.580,6.510,3.930,0.900,99.310
s_CE-2 [5039],VOL,60.140,0.850,17.820,6.170,2.850,6.000,2.780,1.960,98.570
s_C723 [20337],VOL,60.140,0.700,16.800,5.560,3.740,6.010,3.760,1.970,98.680
s_JK 201 [18493],VOL,60.140,1.180,16.520,7.110,2.440,5.560,4.960,1.010,98.920
s_CHA-E-08-08 [25790],VOL,60.140,0.853,16.871,5.480,2.778,6.038,4.102,2.698,98.960
s_TUN-5 [17607],VOL,60.150,1.280,15.103,5.980,2.998,5.145,4.099,2.929,97.684
s_1702 [4865],VOL,60.150,0.810,15.770,5.050,3.770,5.660,3.780,2.760,97.750
s_AG14-036 [21640],VOL,60.150,0.590,16.990,5.780,3.460,6.750,3.660,1.260,98.640
s_JMI-68 [20737],VOL,60.150,0.780,17.500,5.540,2.670,5.340,4.390,2.300,98.670
s_ANT-15-08 [21645],VOL,60.150,0.990,16.970,6.560,2.390,5.340,4.410,1.880,98.690
s_CL108 [24938],VOL,60.160,0.610,18.210,5.810,2.510,6.470,4.150,0.820,98.740
s_APP02 [23729],VOL,60.170,0.960,15.990,6.210,1.290,5.660,4.930,1.650,96.860
s_UR9818 [7409],VOL,60.170,0.900,16.140,6.180,3.430,5.710,2.690,3.200,98.420
s_CVC-6 [24275],VOL,60.180,0.520,15.900,6.150,4.920,6.630,3.650,1.110,99.060
s_UBI-10-13 [24348],VOL,60.190,0.530,16.110,4.780,1.950,4.650,3.610,3.110,94.930
s_NEG-91 [25792],VOL,60.190,0.950,16.370,5.190,2.940,5.640,4.200,2.400,97.880
s_T14-026 [23710],VOL,60.190,0.560,17.250,5.860,3.590,6.690,3.670,1.440,99.250
s_CHIC-96H-12  [21032],VOL,60.200,1.090,17.000,5.170,1.860,4.420,2.110,2.300,94.150
s_YU-12-33 [23780],VOL,60.200,0.700,16.700,4.980,2.210,4.950,3.680,2.870,96.290
s_JMI-196 [20737],VOL,60.200,0.750,16.900,5.150,2.560,4.930,4.200,2.280,96.970
s_TU-12-93 [24931],VOL,60.200,0.800,16.800,5.040,2.600,5.200,3.900,2.800,97.340
s_COR-00-20 [13695],VOL,60.200,1.152,16.200,5.250,2.270,4.990,4.600,2.820,97.482
s_MIS-51 [20737],VOL,60.200,0.730,16.700,5.080,2.630,5.320,4.300,2.550,97.510
s_JMI-43 [20737],VOL,60.200,0.690,17.310,5.370,2.540,5.070,4.240,2.230,97.650
s_JMI-43 [20737],VOL,60.200,0.690,17.310,5.370,2.540,5.070,4.240,2.230,97.650
s_NEG-109 [25792],VOL,60.200,0.960,16.440,5.250,2.830,5.660,4.490,2.130,97.960
s_MIS-53 [20737],VOL,60.200,0.740,17.000,5.100,2.680,5.480,4.280,2.520,98.000
s_LH E11B [23496],VOL,60.200,0.890,15.750,6.150,3.180,5.660,3.620,2.640,98.090
s_RIO 76 [20960],VOL,60.200,0.750,17.500,5.670,2.700,5.800,4.400,1.380,98.400
s_PIP-01-026 [13695],VOL,60.200,0.817,17.300,5.590,2.700,5.580,4.180,2.300,98.667
s_CAY 136 [8494],VOL,60.200,0.790,17.650,5.940,2.750,5.600,4.400,1.620,98.950
s_JMI-171 [20737],VOL,60.200,0.870,16.800,6.070,3.600,5.470,4.000,2.110,99.120
s_ANT-15-18 [21645],VOL,60.200,0.990,16.980,6.860,2.400,5.360,4.450,1.890,99.130
s_YU-12-48 [23780],VOL,60.200,0.880,17.100,5.580,3.110,5.980,3.720,2.560,99.130
s_FCC-03 [22863],VOL,60.200,0.725,15.566,6.982,4.095,6.999,2.292,1.489,98.347
s_CHA-04-07 [25790],VOL,60.205,1.093,16.263,6.030,3.182,5.384,3.849,2.909,98.915
s_NEG-09 [25792],VOL,60.210,1.060,16.310,5.190,2.880,5.770,4.410,2.250,98.080
s_DARE-151-MC [20576],VOL,60.213,1.157,16.895,6.650,2.395,5.524,4.518,1.389,98.741
s_LCPK-1 [23452],VOL,60.220,0.860,16.320,5.923,2.820,5.510,3.220,2.450,97.323
s_CVC-15 [24275],VOL,60.220,0.550,16.300,6.060,4.630,6.640,3.610,1.070,99.080
s_CA-1623 [23001],VOL,60.224,0.777,16.875,5.070,3.836,5.545,4.267,2.544,99.138
s_CHA-02-21 [25790],VOL,60.225,1.096,16.195,5.970,3.249,5.344,3.684,3.148,98.912
s_GNZ 53B [20438],VOL,60.240,0.760,14.630,4.910,4.200,3.850,3.970,3.930,96.490
s_CL109 [24938],VOL,60.240,0.590,18.000,5.680,2.380,6.440,4.080,0.860,98.270
s_290 [4952],VOL,60.240,0.740,15.400,5.533,3.950,6.150,3.520,3.100,98.633
s_TS/90/04 [5636],VOL,60.240,1.010,16.730,5.340,2.450,5.090,4.800,3.240,98.900
s_88M [22753],VOL,60.240,0.960,17.960,5.660,2.520,5.360,4.330,2.440,99.470
s_JMI-52 [20737],VOL,60.250,0.790,16.840,5.510,2.650,5.120,4.230,2.540,97.930
s_VGP4501 [24720],VOL,60.260,0.540,16.550,4.270,0.840,3.150,4.310,3.830,93.750
s_CUI 17C [20960],VOL,60.260,0.510,16.580,5.040,2.410,5.610,3.820,1.210,95.440
s_N-152 [5906],VOL,60.260,0.750,17.740,5.239,0.850,4.900,4.020,2.280,96.039
s_SA-11-75A [20530],VOL,60.270,0.970,16.240,5.050,2.600,5.080,4.260,2.840,97.310
s_VPM 03 [24851],VOL,60.270,0.700,16.940,5.030,2.860,6.110,4.270,1.270,97.450
s_CA-19-36 [24895],VOL,60.270,0.668,19.520,5.080,1.760,7.130,4.300,0.850,99.578
s_PB12036 [19324],VOL,60.276,0.641,17.205,5.550,2.493,6.425,3.518,1.518,97.625
s_SA-11-64 [20530],VOL,60.280,0.860,15.760,4.910,2.200,4.570,3.610,3.740,95.930
s_TU-102A [17607],VOL,60.280,0.999,16.140,4.820,2.469,5.331,4.355,3.038,97.432
s_COL-34A [5427],VOL,60.280,0.680,15.590,5.520,5.000,6.030,3.230,2.000,98.330
s_T14-068 [23710],VOL,60.280,0.550,17.160,5.760,3.330,6.500,3.670,1.420,98.670
s_CHA-14-09 [25790],VOL,60.284,1.008,16.387,5.580,3.298,5.638,4.227,2.524,98.945
s_TG-JB-11A [22096],VOL,60.290,0.760,17.290,5.300,2.840,5.850,4.570,2.150,99.050
s_MIS-26 [20737],VOL,60.300,0.650,17.050,5.100,2.510,5.200,3.650,2.150,96.610
s_AZU-16-06 [25697],VOL,60.300,0.750,15.700,5.870,3.250,5.300,3.350,2.700,97.220
s_IP13 [7409],VOL,60.300,0.850,15.400,5.610,3.780,6.140,3.080,2.510,97.670
s_AR87 [5168],VOL,60.300,0.900,15.700,5.580,3.300,5.900,3.300,2.800,97.780
s_CAY 3B2 [8494],VOL,60.300,0.700,17.200,5.670,2.800,5.800,3.910,1.630,98.010
s_JMI-109 [20737],VOL,60.300,0.750,17.000,5.330,2.780,5.250,4.370,2.360,98.140
s_CAS-00-01 [13695],VOL,60.300,1.095,15.400,5.590,3.620,5.360,3.940,2.860,98.165
s_AR88 [5168],VOL,60.300,1.000,16.500,5.580,2.900,6.000,3.700,2.400,98.380
s_JMI-69 [20737],VOL,60.300,0.750,17.500,5.380,2.530,5.260,4.480,2.270,98.470
s_CO15 [22116],VOL,60.300,0.790,15.920,5.360,4.000,5.710,3.380,3.020,98.480
s_CH DB 21 [20960],VOL,60.300,0.740,17.200,5.610,3.060,5.850,4.460,1.370,98.590
s_CH 99 [20960],VOL,60.300,0.720,16.600,5.670,3.700,6.300,4.100,1.400,98.790
s_QC-146 [4687],VOL,60.300,0.840,17.900,5.034,2.540,6.300,4.700,1.240,98.854
s_TU 08 10 12 05 [21643],VOL,60.300,0.760,17.000,5.700,3.480,5.750,4.340,2.020,99.350
s_PB12003 [19324],VOL,60.301,0.746,16.994,5.910,3.719,5.777,3.729,1.372,98.549
s_LG003B [22118],VOL,60.305,1.097,16.217,5.380,1.763,4.358,4.025,2.879,96.023
s_PIC38 [23134],VOL,60.310,0.800,16.520,6.240,1.520,4.700,4.510,0.920,95.520
s_CAL-167 [7894],VOL,60.310,1.150,15.780,5.115,2.410,5.020,4.440,2.930,97.155
s_G-174-449A [20792],VOL,60.310,0.780,16.990,5.990,3.000,5.590,4.290,2.070,99.020
s_88068B [4376],VOL,60.310,0.870,17.300,5.520,3.760,5.830,3.090,2.390,99.070
s_CHA-12-09 [25790],VOL,60.315,0.853,16.836,5.360,2.731,6.003,4.166,2.701,98.965
s_1532 [23057],VOL,60.320,0.730,16.350,6.090,3.290,4.920,4.690,1.990,98.380
s_COL-17B [5427],VOL,60.320,0.710,15.460,5.700,4.890,5.910,3.520,2.120,98.630
s_1532 [23057],VOL,60.330,0.720,16.360,4.610,2.000,5.080,4.730,1.900,95.730
s_116165 [6304],VOL,60.330,0.700,15.840,5.249,4.990,6.040,3.740,2.130,99.019
s_VGP3803 [24720],VOL,60.340,1.190,14.800,5.920,2.360,5.060,3.790,2.960,96.420
s_AC-8 [5906],VOL,60.340,0.730,18.490,4.247,2.090,5.580,5.010,1.760,98.247
s_901207 [23561],VOL,60.350,0.310,16.080,5.637,3.760,3.680,4.080,1.450,95.347
s_NEG-23 [25792],VOL,60.350,1.020,16.250,5.360,2.760,5.560,4.380,2.260,97.940
s_T14-011 [23710],VOL,60.350,0.690,16.940,6.010,3.290,6.740,3.520,1.230,98.770
s_16EQ08 [22739],VOL,60.350,0.770,17.810,5.600,2.490,5.720,4.210,2.120,99.070
s_CA-1614 [23001],VOL,60.350,0.753,16.599,5.150,3.983,5.721,4.067,2.484,99.108
s_TU-104 [17607],VOL,60.360,1.304,15.665,5.800,1.903,4.553,4.254,3.171,97.010
s_GU-TCN-25 [24819],VOL,60.370,0.920,15.170,4.910,2.350,6.610,3.840,2.760,96.930
s_VPM 17 [24851],VOL,60.370,0.510,15.560,4.970,4.270,6.230,3.990,1.390,97.290
s_CAL-121 [7894],VOL,60.370,0.980,16.600,5.175,2.300,4.720,4.170,3.440,97.755
s_964-R [7437],VOL,60.370,0.850,17.360,5.630,2.740,5.230,4.260,2.190,98.630
s_COL-17A [5427],VOL,60.370,0.700,15.320,5.740,5.000,5.990,3.770,2.030,98.920
s_LG013B [22118],VOL,60.370,1.116,16.818,5.400,1.997,4.885,3.788,2.379,96.753
s_901218 [23561],VOL,60.390,0.530,14.770,8.936,2.590,6.840,2.550,0.000,96.606
s_SR6 [19886],VOL,60.390,0.634,16.870,5.110,2.230,6.210,3.780,2.250,97.474
s_LIC-98-12 [13695],VOL,60.400,0.788,16.800,5.200,2.770,5.610,3.400,2.360,97.328
s_AR44 [5168],VOL,60.400,0.800,16.700,4.860,2.800,5.500,4.100,2.300,97.460
s_CORO-99-02 [13695],VOL,60.400,1.020,16.800,4.990,2.210,4.680,4.990,3.110,98.200
s_216/66 [9337],VOL,60.400,0.700,15.400,5.348,4.900,6.300,2.900,2.300,98.248
s_12 [3802],VOL,60.400,0.800,16.100,5.487,2.700,4.900,5.000,3.000,98.387
s_AND-99-04 [13695],VOL,60.400,1.090,16.700,5.340,2.360,5.090,4.710,2.880,98.570
s_CH DB 129B [20960],VOL,60.400,0.760,16.450,5.730,3.570,5.900,4.180,1.640,98.630
s_JMI-55 [20737],VOL,60.400,0.790,17.500,5.470,2.730,5.480,4.280,2.320,98.970
s_CH DB 26 [20960],VOL,60.400,0.690,17.300,6.120,2.670,6.280,4.160,1.430,99.050
s_CVC-20 [24275],VOL,60.400,0.500,15.780,6.040,4.750,6.680,3.710,1.230,99.090
s_CO2 [5029],VOL,60.400,0.680,17.200,6.407,2.500,6.700,4.000,1.890,99.777
s_PB12037 [19324],VOL,60.402,0.550,17.275,6.480,3.009,6.408,3.239,1.580,98.942
s_CCL-37 [5039],VOL,60.410,0.740,16.370,5.220,2.140,4.990,2.680,2.790,95.340
s_OLA-023 [10229] / s_OLA23 [11543],VOL,60.410,0.940,16.930,5.710,3.570,5.870,3.520,2.760,99.710
s_CCL-32 [5039],VOL,60.420,0.680,15.530,5.290,2.200,4.120,2.110,3.140,93.490
s_MI11 [7556],VOL,60.420,1.360,14.660,8.046,2.380,4.700,4.720,1.700,97.986
s_NEG-10 [25792],VOL,60.430,1.060,16.350,5.200,2.870,5.600,4.500,2.060,98.070
s_TG-JB-29 [22096],VOL,60.440,0.800,16.470,5.680,3.550,5.800,4.250,2.090,99.080
s_CHA-14-14 [25790],VOL,60.446,0.997,16.403,5.490,3.254,5.558,4.282,2.556,98.986
s_CS92-1 [6214],VOL,60.450,0.920,17.790,5.535,2.070,6.180,4.240,1.130,98.315
s_JK 214C [18493],VOL,60.460,1.030,15.930,6.870,1.230,3.680,4.100,1.140,94.440
s_CA-1629 [23001],VOL,60.466,0.742,16.566,4.940,4.368,5.469,4.205,2.417,99.173
s_RM [22749],VOL,60.470,1.280,17.580,6.630,1.220,5.300,5.790,1.320,99.590
s_CHA-02-03-JC [25790],VOL,60.473,0.885,16.916,5.300,2.826,5.642,3.849,3.120,99.013
s_M-8 [7944],VOL,60.490,1.260,16.390,6.894,2.320,5.340,4.450,1.990,99.134
s_NEG-32 [25792],VOL,60.490,1.100,16.700,5.690,3.150,5.900,4.470,1.890,99.390
s_TU-12-57 [24931],VOL,60.500,0.700,15.900,5.310,2.900,5.000,3.400,2.900,96.610
s_CUI 17A [20960],VOL,60.500,0.570,16.760,5.460,2.800,5.940,3.900,1.170,97.100
s_IP16 [7409],VOL,60.500,0.870,15.300,5.600,3.520,6.210,2.890,2.340,97.230
s_SAI-98-41 [13695],VOL,60.500,0.746,16.400,5.260,3.100,5.820,3.580,2.440,97.846
s_TU-12-67 [24931],VOL,60.500,0.700,17.100,4.680,2.700,5.800,3.900,2.500,97.880
s_CAY 106D [8494],VOL,60.500,0.870,18.250,5.070,1.680,5.200,4.250,2.080,97.900
s_MIS-99-04 [13695],VOL,60.500,0.691,17.200,5.040,2.680,5.350,4.250,2.300,98.011
s_AR80 [5168],VOL,60.500,0.900,16.500,5.490,2.900,5.600,3.500,2.700,98.090
s_CH 115 [20960],VOL,60.500,0.710,17.000,5.450,3.000,5.850,4.250,1.420,98.180
s_SA-09-17 [20530],VOL,60.500,0.990,16.100,5.440,3.010,5.170,4.310,2.680,98.200
s_QC-145 [4687],VOL,60.500,0.830,17.750,5.034,2.490,6.100,4.620,1.300,98.624
s_AZU-17-08 [25697],VOL,60.500,0.590,18.200,4.310,2.700,6.220,4.000,2.160,98.680
s_CH DB 18 [20960],VOL,60.500,0.750,17.050,5.710,3.140,6.140,4.420,1.350,99.060
s_T14-007 [23710],VOL,60.500,0.580,17.000,5.650,3.630,6.480,3.930,1.310,99.080
s_CTX-26 [15607],VOL,60.500,0.686,19.090,5.110,1.830,6.130,4.390,1.760,99.496
s_THML53 [5426],VOL,60.500,0.700,16.250,5.154,5.200,6.100,3.800,2.150,99.854
s_CAB-11 [22863],VOL,60.508,0.556,16.499,5.569,2.169,5.835,3.417,2.406,96.959
s_LAST-10-13 [20993],VOL,60.520,0.880,14.500,5.120,3.100,5.370,2.820,2.410,94.720
s_PORU-002 [10229],VOL,60.520,1.060,17.280,5.720,3.330,5.770,4.300,2.360,100.340
s_SDJR-15-1 [23315],VOL,60.530,0.540,17.270,4.914,3.350,5.990,3.660,1.420,97.674
s_AT07 [5009],VOL,60.530,0.606,16.180,7.160,4.000,6.240,3.900,1.140,99.756
s_LAST-10-05 [20993],VOL,60.540,0.960,16.220,5.590,3.460,5.830,3.540,2.600,98.740
s_CAY 25 [8494],VOL,60.550,0.700,16.720,5.400,2.770,5.080,4.030,1.790,97.040
s_THML56 [5426],VOL,60.550,0.700,15.750,5.132,5.000,5.800,3.500,2.150,98.582
s_CN-11-23 [19996],VOL,60.550,0.660,17.360,6.700,2.450,5.390,4.040,1.760,98.910
s_IS3-025 [13695],VOL,60.550,1.070,17.120,5.780,2.350,5.260,4.000,2.930,99.060
s_PB12039 [19324],VOL,60.550,0.547,17.300,6.340,2.946,6.092,3.275,1.533,98.584
s_CHA-14-04 [25790],VOL,60.555,1.001,16.134,5.860,3.275,5.655,3.910,2.530,98.920
s_LCSUR-3 [23452],VOL,60.560,0.880,16.510,5.818,3.370,5.360,3.400,1.910,97.808
s_1705 [4865],VOL,60.560,0.860,15.440,5.450,3.950,5.340,3.370,2.970,97.940
s_83-267 [4437],VOL,60.560,0.670,15.070,4.890,6.150,5.740,4.050,1.450,98.580
s_CN-11-14 [19996],VOL,60.560,0.660,17.890,6.200,2.200,4.840,5.040,1.400,98.790
s_LA09009 [20161],VOL,60.560,0.720,16.770,5.860,3.860,6.470,3.510,1.940,99.690
s_NEG-75 [25792],VOL,60.570,1.090,16.600,5.460,2.880,5.650,4.560,1.970,98.780
s_T14-016 [23710],VOL,60.580,0.550,16.730,5.660,3.560,6.300,3.720,1.430,98.530
s_CL34 [24938],VOL,60.580,0.620,18.220,5.960,2.580,6.630,4.370,0.860,99.820
s_PB12034 [19324],VOL,60.585,0.571,17.312,6.390,2.987,6.435,3.268,1.554,99.102
s_BU6 [7556],VOL,60.590,0.880,15.060,6.320,1.960,3.480,3.530,3.190,95.010
s_BI-10-21 [20396],VOL,60.590,0.860,15.840,5.570,3.870,5.130,2.260,3.360,97.480
s_TS/90/12 [5636],VOL,60.590,0.950,16.230,5.060,2.480,4.700,4.390,3.290,97.690
s_PM3 [24869],VOL,60.590,1.100,16.790,5.440,2.140,4.910,4.510,2.950,98.430
s_AG14-045 [21640],VOL,60.590,0.500,16.550,5.760,3.680,6.360,3.860,1.530,98.830
s_1532 [23057],VOL,60.600,0.780,16.450,5.010,1.820,5.060,4.840,2.070,96.630
s_AR43 [5168],VOL,60.600,0.700,16.300,4.590,2.900,5.300,3.900,2.600,96.890
s_AZU-16-01 [25697],VOL,60.600,0.750,15.700,5.510,3.000,5.370,3.320,2.680,96.930
s_BI10-21  [21870],VOL,60.600,0.900,15.800,5.000,3.900,5.100,2.300,3.400,97.000
s_GAL45 [20960],VOL,60.600,0.740,16.400,5.800,2.970,5.730,3.630,1.670,97.540
s_AZU-17-11 [25697],VOL,60.600,0.600,18.000,4.420,2.090,5.640,3.780,2.510,97.640
s_JMI-71 [20737],VOL,60.600,0.750,17.200,5.150,2.490,5.030,4.230,2.400,97.850
s_4381-7 [20337],VOL,60.600,0.790,15.780,8.570,1.130,4.390,5.430,1.220,97.910
s_CAY 96A [8494],VOL,60.600,0.800,16.300,5.580,3.040,5.650,4.120,1.900,97.990
s_SAR-00-13 [13695],VOL,60.600,1.015,16.400,5.030,2.240,4.820,5.000,3.000,98.105
s_FA08 [22116],VOL,60.600,0.820,16.470,5.280,3.010,5.560,3.840,2.760,98.340
s_JMI-48 [20737],VOL,60.600,0.790,17.000,5.440,2.670,5.150,4.280,2.550,98.480
s_CH DB 41 [20960],VOL,60.600,0.770,17.600,5.360,2.550,5.850,4.570,1.350,98.650
s_131/62 [9337],VOL,60.600,1.100,16.600,5.427,2.800,5.200,4.300,2.800,98.827
s_ATAC 8 [14524] / s_ATAC8 [7890],VOL,60.600,0.600,16.500,6.460,3.870,6.080,3.740,1.090,98.940
s_C156A [6219],VOL,60.600,1.680,15.400,7.290,2.340,5.260,4.690,1.960,99.220
s_ML781 [6304],VOL,60.600,0.670,16.400,5.490,5.000,5.990,3.720,2.120,99.990
s_229_02D [20676],VOL,60.605,1.185,16.529,6.550,2.199,5.146,5.045,1.359,98.617
s_VV024 [24869],VOL,60.610,0.960,15.760,4.660,1.960,4.940,4.530,3.020,96.440
s_LAST-10-17A [20993],VOL,60.610,1.020,15.080,6.010,3.260,4.880,3.330,2.730,96.920
s_CN-11-26 [19996],VOL,60.610,0.670,17.730,6.060,2.630,5.860,4.070,1.250,98.880
s_CHA-12-08 [25790],VOL,60.630,0.878,16.566,5.200,2.766,5.482,3.957,3.533,99.012
s_AT08 [5009],VOL,60.630,0.608,16.000,7.260,4.180,6.210,3.730,1.140,99.758
s_T14-018 [23710],VOL,60.640,0.530,16.630,5.360,3.220,6.110,4.070,1.490,98.050
s_110299-7B [20828],VOL,60.640,1.000,17.240,6.110,2.090,5.290,4.680,1.490,98.540
s_DARE-44-SNT  [20576],VOL,60.649,0.994,17.853,5.980,1.717,5.663,4.197,1.858,98.911
s_CS92-2 [6214],VOL,60.650,0.630,17.680,4.775,3.150,6.440,3.590,1.340,98.255
s_130108_05A [20676],VOL,60.650,0.753,18.487,4.220,1.005,2.796,4.693,1.639,94.244
s_SA-09-10 [20530],VOL,60.660,1.000,16.570,5.190,2.910,5.480,4.270,2.650,98.730
s_PS-117 [22096],VOL,60.660,0.770,16.480,5.930,3.460,5.720,4.090,1.950,99.060
s_CHA-02-06 [25790],VOL,60.663,0.784,17.794,5.520,2.052,5.005,4.327,2.811,98.956
s_NEG-22 [25792],VOL,60.670,1.080,16.520,5.600,2.970,5.850,4.540,1.960,99.190
s_88F [22753],VOL,60.670,0.890,17.320,5.810,2.730,5.420,4.180,2.330,99.350
s_T14-024 [23710],VOL,60.680,0.550,16.810,5.360,3.280,6.240,3.810,1.410,98.140
s_RM570 [3461],VOL,60.690,0.900,16.440,5.690,3.580,5.780,3.980,2.670,99.730
s_JRG-33-66L [22303],VOL,60.700,0.910,15.600,5.360,2.580,2.230,5.260,2.840,95.480
s_BAR-01-79 [13695],VOL,60.700,0.932,15.800,4.810,1.600,4.510,4.170,3.330,95.852
s_SAR-00-09 [13695],VOL,60.700,0.746,16.600,4.520,2.030,4.590,4.270,2.410,95.866
s_JRQ-27-131BL [22303],VOL,60.700,0.710,16.400,5.460,2.400,5.330,3.580,1.790,96.370
s_PQ01/36F  [21870],VOL,60.700,1.100,16.900,4.900,2.400,5.200,2.600,2.800,96.600
s_CH 111M [20960],VOL,60.700,0.840,17.000,5.310,1.910,5.250,4.400,1.800,97.210
s_MIS-6 [20737],VOL,60.700,0.690,16.950,5.080,2.300,5.200,4.150,2.360,97.430
s_A2274 [23729],VOL,60.700,0.950,16.410,6.060,1.200,5.450,5.210,1.610,97.590
s_EL MISTI FLOW1 [13695],VOL,60.700,0.741,17.000,5.010,2.420,5.200,4.210,2.360,97.641
s_MIS-2 [20737],VOL,60.700,0.770,16.800,5.240,2.620,5.120,4.200,2.540,97.990
s_BI10-15 [20396],VOL,60.700,0.900,15.290,5.810,5.180,4.740,2.550,2.950,98.120
s_QC-154 [4687],VOL,60.700,0.830,17.800,4.720,2.000,6.200,4.900,1.320,98.470
s_MIS-35 [20737],VOL,60.700,0.760,17.350,5.220,2.650,5.500,4.160,2.290,98.630
s_CH DB 82A [20960],VOL,60.700,0.810,17.200,5.670,2.620,5.950,4.450,1.290,98.690
s_BI10-15  [21870],VOL,60.700,0.900,15.300,6.500,5.200,4.700,2.600,3.000,98.900
s_HC40 [5426],VOL,60.700,0.750,15.000,5.444,5.900,6.150,3.650,2.100,99.694
s_YU-12-31 [23780],VOL,60.700,0.920,17.000,6.290,2.710,5.800,3.750,2.610,99.780
