Title: dummy

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 whitlockite cordierite 
1000.00 990.00 99.999998 0.000000 62.152459 22.573591 6.649215 7.698321 0.893415 0.032997 0.000000 
1000.00 985.00 99.999998 0.000000 62.145492 22.558522 6.651930 7.704722 0.906336 0.032997 0.000000 
1000.00 980.00 99.999998 0.000000 62.138649 22.543570 6.654529 7.711130 0.919122 0.032997 0.000000 
1000.00 975.00 99.999998 0.000000 62.131929 22.528739 6.657013 7.717544 0.931775 0.032997 0.000000 
1000.00 970.00 99.999998 0.000000 62.125332 22.514031 6.659380 7.723963 0.944294 0.032997 0.000000 
1000.00 965.00 99.999998 0.000000 62.118856 22.499448 6.661631 7.730386 0.956680 0.032997 0.000000 
1000.00 960.00 99.999998 0.000000 62.112500 22.484993 6.663764 7.736811 0.968932 0.032997 0.000000 
1000.00 955.00 99.999998 0.000000 62.106263 22.470667 6.665781 7.743238 0.981052 0.032997 0.000000 
1000.00 950.00 99.999998 0.000000 62.100143 22.456474 6.667681 7.749664 0.993038 0.032997 0.000000 
1000.00 945.00 99.999998 0.000000 62.094139 22.442415 6.669466 7.756089 1.004892 0.032997 0.000000 
1000.00 940.00 99.999998 0.000000 62.088249 22.428492 6.671135 7.762511 1.016615 0.032997 0.000000 
1000.00 935.00 99.999998 0.000000 62.082471 22.414707 6.672689 7.768928 1.028206 0.032997 0.000000 
1000.00 930.00 99.999998 0.000000 62.076805 22.401063 6.674129 7.775338 1.039666 0.032997 0.000000 
1000.00 925.00 99.999998 0.000000 62.071248 22.387560 6.675456 7.781741 1.050996 0.032997 0.000000 
1000.00 920.00 99.999998 0.000000 62.065798 22.374201 6.676671 7.788134 1.062196 0.032997 0.000000 
1000.00 915.00 99.999998 0.000000 62.060453 22.360988 6.677777 7.794516 1.073267 0.032997 0.000000 
1000.00 910.00 99.999998 0.000000 62.055212 22.347922 6.678773 7.800884 1.084211 0.032997 0.000000 
1000.00 905.00 99.999998 0.000000 62.050072 22.335004 6.679661 7.807237 1.095026 0.032997 0.000000 
1000.00 900.00 99.999998 0.000000 62.045031 22.322237 6.680444 7.813574 1.105715 0.032997 0.000000 
1000.00 895.00 99.999998 0.000000 62.040087 22.309622 6.681122 7.819891 1.116278 0.032997 0.000000 
1000.00 890.00 99.999998 0.000000 62.035237 22.297161 6.681699 7.826187 1.126717 0.032997 0.000000 
1000.00 885.00 99.999998 0.000000 62.030480 22.284855 6.682175 7.832460 1.137031 0.032997 0.000000 
1000.00 880.00 99.999998 0.036034 62.023868 22.272328 6.682341 7.838858 1.146568 0.000000 0.000000 
1000.00 875.00 99.999998 0.036000 62.019297 22.260346 6.682631 7.845073 1.156651 0.000000 0.000000 
1000.00 870.00 99.999998 0.035966 62.014810 22.248524 6.682826 7.851259 1.166612 0.000000 0.000000 
1000.00 865.00 99.999998 0.035934 62.010405 22.236863 6.682930 7.857412 1.176454 0.000000 0.000000 
1000.00 860.00 99.999998 0.035902 62.006080 22.225365 6.682945 7.863531 1.186176 0.000000 0.000000 
1000.00 855.00 99.999998 0.035871 62.001830 22.214030 6.682873 7.869613 1.195781 0.000000 0.000000 
1000.00 850.00 99.999998 0.035841 61.997654 22.202860 6.682718 7.875655 1.205269 0.000000 0.000000 
1000.00 845.00 99.999998 0.035812 61.993550 22.191857 6.682483 7.881656 1.214641 0.000000 0.000000 
1000.00 840.00 99.999998 0.035783 61.989512 22.181021 6.682169 7.887613 1.223899 0.000000 0.000000 
1000.00 835.00 99.999998 0.035756 61.985540 22.170356 6.681780 7.893522 1.233044 0.000000 0.000000 
1000.00 830.00 99.999998 0.035729 61.981630 22.159861 6.681319 7.899382 1.242077 0.000000 0.000000 
1000.00 825.00 99.999998 0.035703 61.977779 22.149539 6.680789 7.905189 1.250999 0.000000 0.000000 
1000.00 820.00 99.999998 0.035677 61.973983 22.139390 6.680193 7.910942 1.259812 0.000000 0.000000 
1000.00 815.00 99.999998 0.035653 61.970240 22.129417 6.679534 7.916636 1.268517 0.000000 0.000000 
1000.00 810.00 99.999998 0.035629 61.966547 22.119620 6.678816 7.922270 1.277115 0.000000 0.000000 
1000.00 805.00 99.999998 0.035606 61.962901 22.110001 6.678042 7.927841 1.285608 0.000000 0.000000 
1000.00 800.00 99.999998 0.035584 62.058744 21.696070 6.950812 7.616505 1.292828 0.000000 0.349455 
