Title: mars_ultram

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 rhm-oxide_0 whitlockite 
150.00 1505.00 99.960140 67.777849 32.182292 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1500.00 99.959351 66.800209 33.159142 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1495.00 99.958556 65.834283 34.124273 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1490.00 99.957755 64.879415 35.078340 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1485.00 99.956948 63.934984 36.021964 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1480.00 99.956133 63.000405 36.955728 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1475.00 99.955312 62.075129 37.880182 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1470.00 99.954483 61.158642 38.795841 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1465.00 99.953646 60.250465 39.703181 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1460.00 99.952801 59.350157 40.602643 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1455.00 99.951947 58.457318 41.494629 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1450.00 99.951084 57.571584 42.379501 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1445.00 99.950213 56.692637 43.257576 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1440.00 99.949332 55.820201 44.129130 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1435.00 99.948441 54.954050 44.994391 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1430.00 99.947540 54.094006 45.853535 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1425.00 99.946629 53.239944 46.706685 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1420.00 99.945709 52.391800 47.553909 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1415.00 99.944778 51.549565 48.395213 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1410.00 99.943837 50.713297 49.230540 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1405.00 99.942886 49.883120 50.059765 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1400.00 99.941925 49.059231 50.882694 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1395.00 99.940954 48.241896 51.699058 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1390.00 99.939974 47.431460 52.508515 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1385.00 99.939047 46.321458 52.811552 0.806037 0.000000 0.000000 0.000000 0.000000 
150.00 1380.00 99.938124 45.220645 53.091491 1.625988 0.000000 0.000000 0.000000 0.000000 
150.00 1375.00 99.937203 44.147246 53.378477 2.411480 0.000000 0.000000 0.000000 0.000000 
150.00 1370.00 99.936284 43.100130 53.671479 3.164675 0.000000 0.000000 0.000000 0.000000 
150.00 1365.00 99.935367 42.078307 53.969437 3.887623 0.000000 0.000000 0.000000 0.000000 
150.00 1360.00 99.934451 41.080916 54.271263 4.582273 0.000000 0.000000 0.000000 0.000000 
150.00 1355.00 99.933539 40.107210 54.575841 5.250487 0.000000 0.000000 0.000000 0.000000 
